dataset,model,problem_id,gold,ans_a,a_correct,ans_b,b_correct
Math500,Qwen2.5-Math-7B-Instruct,test/prealgebra/954.json,10,10,True,10,True
Math500,Ministral-8B-Instruct-2410,test/prealgebra/951.json,12,12,True,,
Math500,Ministral-8B-Instruct-2410,test/algebra/988.json,11,11,True,,
Math500,Qwen2.5-Math-7B-Instruct,test/intermediate_algebra/776.json,3,3,True,,
Math360,Qwen2.5-7B,statistics_descriptive_m2,2.915,2.61,False,2.61,False
Math500,Qwen2.5-Math-7B-Instruct,test/intermediate_algebra/1898.json,-5,-5,True,-5,True
Math360,Qwen2.5-32B-Instruct,algebra_polynomials_h2,(x - 4)(x - 1)(x + 2),,,(x - 1)(x - 4)(x + 2),False
Math500,Qwen2.5-7B-Instruct,test/prealgebra/1742.json,\dfrac{33}{100},\frac{33}{100},True,\frac{33}{100},True
Math360,Qwen2.5-32B-Instruct,combinatorics_probability_m3,12/35,,,\frac{12}{35},True
Math500,Qwen2.5-Math-7B-Instruct,test/algebra/187.json,3,3,True,3,True
Math500,Qwen2.5-7B,test/counting_and_probability/238.json,10080,"1260 ways to seat 8 people around a square table with 2 people on a side, considering the rotational symmetry",False,,
Math500,JiuZhang3.0-7B,test/algebra/824.json,12,,,12,True
Math500,Qwen2.5-7B-Instruct,test/counting_and_probability/1114.json,\frac{11}{36},\frac{11}{36},True,\frac{11}{36},True
Math500,Ministral-8B-Instruct-2410,test/geometry/254.json,3,3,True,,
Math500,JiuZhang3.0-7B,test/number_theory/1065.json,17,9,False,17,True
Math360,Qwen2.5-32B-Instruct,combinatorics_permutations_m2,60,60,True,,
Math360,JiuZhang3.0-7B,numbertheory_primes_e2,Yes,37,False,37,False
Math500,Ministral-8B-Instruct-2410,test/prealgebra/2057.json,90,,,90,True
Math500,Open-Reasoner-Zero-7B,test/intermediate_algebra/1365.json,15,15,True,15,True
Math500,Open-Reasoner-Zero-7B,test/prealgebra/805.json,41,41,True,41,True
Math360,JiuZhang3.0-7B,linearalgebra_determinants_e3,45,45,True,45,True
Math500,Qwen2.5-7B,test/prealgebra/1044.json,5.4 \text{ cents},,,5.4,False
Math500,Qwen2.5-Math-7B-Instruct,test/algebra/2570.json,2107,2107,True,2107,True
Math360,Qwen2.5-32B-Instruct,arithmetic_order_m1,6,6,True,6,True
Math500,Open-Reasoner-Zero-7B,test/intermediate_algebra/1217.json,x^5 - x^4 + x^3 - x^2 + x - 1,x^5 - x^4 + x^3 - x^2 + x - 1,True,x^5 - x^4 + x^3 - x^2 + x - 1,True
Math500,Open-Reasoner-Zero-7B,test/prealgebra/260.json,36^\circ,36^\circ,True,36^\circ,True
Math500,Llama-3.1-8B-Instruct,test/precalculus/1146.json,\frac{35}{64},,,\frac{35}{128},False
Math500,Llama-3.1-8B-Instruct,test/prealgebra/1924.json,2k+2,2 + 2k,False,,
Math360,JiuZhang3.0-7B,arithmetic_order_m1,6,,,6,True
Math360,s1.1-7B,linearalgebra_determinants_m3,12,\(\boxed{12}\),False,12,True
Math500,JiuZhang3.0-7B,test/algebra/170.json,11,11,True,11,True
Math500,JiuZhang3.0-7B,test/algebra/109.json,0,0,True,0,True
Math500,Qwen2.5-Math-7B-Instruct,test/precalculus/902.json,\sqrt{66},5,False,,
Math500,JiuZhang3.0-7B,test/counting_and_probability/1060.json,1260,2520,False,1260,True
Math500,Qwen2.5-7B-Instruct,test/prealgebra/1733.json,-9,3,False,1,False
Math360,s1.1-7B,numbertheory_diophantine_e1,"Infinitely many: (x, y) = (10-k, k) for any integer k","\{(x, 10 - x) \mid x \in \mathbb{Z}\}",False,,
Math360,JiuZhang3.0-7B,statistics_hypothesis_e3,1.645,1.645,True,,
Math360,JiuZhang3.0-7B,linearalgebra_eigenvalues_e2,"(1, 0) for λ = 2, (0, 1) for λ = 3","Eigenvectors: [1, 0], [0, 1]",False,"[2,3]",False
Math500,JiuZhang3.0-7B,test/number_theory/1055.json,203,424,False,1708,False
Math500,Qwen2.5-Math-7B-Instruct,test/intermediate_algebra/90.json,898,312,False,256,False
Math500,JiuZhang3.0-7B,test/precalculus/675.json,4,1,False,3,False
Math500,Ministral-8B-Instruct-2410,test/counting_and_probability/389.json,28,28,True,28,True
Math360,Qwen2.5-32B-Instruct,combinatorics_combinations_m1,4410,4410,True,4410,True
Math500,Ministral-8B-Instruct-2410,test/algebra/776.json,-2,0,False,,
Math500,Qwen2.5-7B,test/algebra/1184.json,129,157,False,150,False
Math500,Llama-3.1-8B-Instruct,test/number_theory/22.json,2,2,True,2,True
